codigo,dgenerica,despecifica,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud
"03013901","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ALFA I OMEGA","Priv.","PD","SANTA LUCÍA B","12",3700,"DÉNIA","Alacant","965786472","965783610",3.88253021e+01,1.20297000e-01
"03005422","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","PADRE MANJÓN","Púb.","CL","PADRE MANJÓN","22",3600,"ELDA","Alacant","965381715","966980989",3.84751434e+01,-7.93065012e-01
"03004673","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JAUME I","Púb.","CL","MANUEL CAMPELLO RUIZ","S/N",3205,"ELX","Alacant","966915260","966915261",3.82740021e+01,-7.16380000e-01
"46020534","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","ANTONIO FERRANDIS","Púb.","PZ","LA YESA","S/N",46980,"PATERNA","València","963644011","963644011",3.95252304e+01,-4.32886988e-01
"03005999","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","L'OM","Púb.","CL","EL SALVADOR","S/N",3688,"FONDÓ DE LES NEUS (EL) CANALOSA (LA)","Alacant","965480591",,3.83047066e+01,-9.35478985e-01
"03006876","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE LINO FERRANDIZ","Púb.","CL","INDUSTRIA","48",3579,"ORXETA","Alacant","966855067",,3.85627022e+01,-2.62614995e-01
"03007972","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LES ERES","Púb.","CL","EVARISTO MANERO","38",3578,"RELLEU","Alacant","966870880","966870881",3.85860901e+01,-3.11361998e-01
"03008009","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","PRÍNCIPE DE ESPAÑA","Púb.","CL","AITANA","2",3170,"ROJALES","Alacant","966714259",,3.80839806e+01,-7.21696019e-01
"03003644","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MESTRE JOAQUÍN CARTAGENA","Púb.","CL","MÚSIC JOSÉ ALBERO","23",3469,"CAMP DE MIRRA (EL)","Alacant","965820478",,3.86879539e+01,-7.77476013e-01
"03003851","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA",,"Púb.","CL","ALICANTE","5",3817,"CONFRIDES","Alacant","966870835","966870836",3.86837502e+01,-2.69331008e-01
"03003899","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","PRIMO DE RIVERA","Púb.","CL","JORGE JUAN","2",3330,"CREVILLENT","Alacant","966915390","966915391",3.82511902e+01,-8.12108994e-01
"03009831","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JOANOT MARTORELL","Púb.","CL","CARRETERA","S/N",3787,"VALL DE GALLINERA BENIALI","Alacant","966406655",,3.88207359e+01,-2.21625999e-01
