codigo,dgenerica,despecifica,dabreviada,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud
03013901,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",ALFA I OMEGA,CENTRE PRIVAT ALFA I OMEGA,Priv.,PD,SANTA LUCÍA B,12,3700,DÉNIA,Alacant,965786472,965783610,"38,8253","0,120297"
03005422,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PADRE MANJÓN,CEIP PADRE MANJÓN,Púb.,CL,PADRE MANJÓN,22,3600,ELDA,Alacant,966957430,966957431,"38,47514","-0,793065"
03004673,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JAUME I,CEIP JAUME I,Púb.,CL,MANUEL CAMPELLO RUIZ,S/N,3205,ELX,Alacant,966915260,966915261,"38,274","-0,71638"
46020534,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ANTONIO FERRANDIS,CEIP ANTONIO FERRANDIS,Púb.,PZ,LA YESA,S/N,46980,PATERNA,València,963644011,963644011,"39,52523","-0,432887"
03005999,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,L'OM,CEIP L'OM,Púb.,CL,EL SALVADOR,S/N,3688,FONDÓ DE LES NEUS (EL) CANALOSA (LA),Alacant,965480591,,"38,30471","-0,935479"
03006876,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICENTE LINO FERRANDIZ,CEIP VICENTE LINO FERRANDIZ,Púb.,CL,INDUSTRIA,48,3579,ORXETA,Alacant,966870895,966870896,"38,5627","-0,262615"
03007972,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LES ERES,CEIP LES ERES,Púb.,CL,EVARISTO MANERO,38,3578,RELLEU,Alacant,966870880,966870881,"38,58609","-0,311362"
03008009,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRÍNCIPE DE ESPAÑA,CEIP PRÍNCIPE DE ESPAÑA,Púb.,CL,AITANA,2,3170,ROJALES,Alacant,966926700,966926701,"38,08419","-0,722032"
03003644,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MESTRE JOAQUÍN CARTAGENA,CEIP MESTRE JOAQUÍN CARTAGENA,Púb.,CL,MÚSIC JOSÉ ALBERO,23,3469,CAMP DE MIRRA (EL),Alacant,965820478,,"38,68795","-0,777476"
03003851,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,,CEIP DE CONFRIDES,Púb.,CL,ALICANTE,5,3817,CONFRIDES,Alacant,966870835,966870836,"38,6837","-0,26975"
03003899,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PRIMO DE RIVERA,CEIP PRIMO DE RIVERA,Púb.,CL,JORGE JUAN,2,3330,CREVILLENT,Alacant,966915390,966915391,"38,25119","-0,812109"
03009831,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JOANOT MARTORELL,CEIP JOANOT MARTORELL,Púb.,CL,CARRETERA,S/N,3787,VALL DE GALLINERA BENIALI,Alacant,966409950,966409951,"38,82074","-0,221626"
03010855,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,OROSIA SILVESTRE,CENTRE PÚBLIC FPA OROSIA SILVESTRE,Púb.,PJ,DEL VIADUCTE,1,3801,ALCOI,Alacant,966528125 ,966528126,"38,69901","-0,468998"
03008629,INSTITUTO DE EDUCACIÓN SECUNDARIA,LAS LAGUNAS,IES LAS LAGUNAS,Púb.,AV,DE LAS CORTES VALENCIANAS,S/N,3183,TORREVIEJA,Alacant,966926775,966926776,"37,99422","-0,67435"
12003328,INSTITUT D'EDUCACIÓ SECUNDÀRIA,LLOMBAI,IES LLOMBAI,Púb.,AV,CARDENAL VICENTE ENRIQUE TARANCÓN,7,12530,BORRIANA,Castelló,964739265,964739266,"39,8845","-0,07685"
12003717,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,SAN VICENTE DE PIEDRAHITA,CEIP SAN VICENTE DE PIEDRAHITA,Púb.,PZ,DE LA IGLESIA,3,12127,CORTES DE ARENOSO SAN VICENTE DE PIEDRAHITA,Castelló,964738755,964738756,"40,13803","-0,502442"
46003974,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANT ANTONI ABAT,CEIP SANT ANTONI ABAT,Púb.,CL,SUECA,1,46418,FORTALENY,València,961701128,961700357,"39,18443","-0,313829"
46005120,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BENJAMÍN BENLLOCH,CEIP BENJAMÍN BENLLOCH,Púb.,CL,TERUEL,2,46940,MANISES,València,961205240,961205241,"39,49473","-0,456525"
46005181,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BLASCO IBÁÑEZ,CEIP BLASCO IBÁÑEZ,Púb.,CL,DIPUTACIÓN,S/N,46292,MASSALAVÉS,València,962440582,,"39,14396","-0,52169"
46005326,ESCOLA INFANTIL,AUSIÀS MARCH,EI AUSIÀS MARCH,Púb.,CL,DOCTOR FLEMING,S/N,46470,MASSANASSA,València,961205850,961205851,"39,4147","-0,402653"
46005922,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LLUÍS VIVES,CEIP LLUÍS VIVES,Púb.,PS,JOAN FUSTER,2,46780,OLIVA,València,962826580,962826581,"38,92485","-0,121963"
46003275,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VILLAR PALASÍ,CEIP VILLAR PALASÍ,Púb.,CL,XIQUET DE QUART,4,46930,QUART DE POBLET,València,961545935,961545935,"39,47999","-0,432772"
12003651,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,ANTIGA PANDEROLA,CENTRE PÚBLIC FPA ANTIGA PANDEROLA,Púb.,CL,SOLADES,25-2ª,12540,VILA-REAL,Castelló,964738905,964738906,"39,93843","-0,094915"
12004916,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,LLIBERTAT,CENTRE PÚBLIC FPA LLIBERTAT,Púb.,PS,MARÍTIM,S/N,12500,VINARÒS,Castelló,964405615,964405616,"40,46931","0,477594"
46003652,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MIGUEL DE CERVANTES,CEIP MIGUEL DE CERVANTES,Púb.,AV,DE LA CONSTITUCIÓ,S/N,46950,XIRIVELLA,València,962566580,962566581,"39,46224","-0,427576"
46011090,CENTRE DOCENT PRIVAT ESTRANGER,COLEGIO ALEMÁN DE VALENCIA,CENTRE ESTRANGER COLEGIO ALEMÁN DE VALENCIA,Priv.,CL,JAIME ROIG,14-16,46010,VALENCIA,València,963690100,963691043,"39,48206","-0,363586"
46002751,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA DEVESA,CENTRE PRIVAT LA DEVESA,Priv.,CL,CAMINO DEPÓSITOS,16,46240,CARLET,València,962530963,962530963,"39,22902","-0,531818"
46016968,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,INSTITUTO MUSICAL GINER,CENTRE ENS. PROFESSIONALS DE MÚSICA INSTITUTO MUSICAL GINER,Priv.,CL,GUILLEM DE CASTRO,73,46008,VALENCIA,València,963920786,963913267,"39,47138","-0,383988"
46001291,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PEPITA GREUS,CEIP PEPITA GREUS,Púb.,CL,PEPITA GREUS,18,46230,ALGINET,València,961719055,961719056,"39,26269","-0,474388"
46015022,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICENTE BLASCO IBÁÑEZ,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,CL,DOCTOR JOSÉ ESPERT,S/N,46230,ALGINET,València,961719005,961719006,"39,25726","-0,471092"
46005570,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JAUME I,CEIP JAUME I,Púb.,CL,FELIPE BELLVER,39,46920,MISLATA,València,962566500,962566501,"39,47563","-0,411888"
46005053,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",EL CARMEN,CENTRE PRIVAT EL CARMEN,Priv.,CL,VALENCIA,37,46940,MANISES,València,961546937,961522853,"39,487","-0,450507"
46005065,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADA FAMILIA,CENTRE PRIVAT SAGRADA FAMILIA,Priv.,CL,TERUEL,3,46940,MANISES,València,961546811,961546891,"39,49465","-0,457156"
46005648,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL LA RAMBLETA,EI 1er CICLE MUNICIPAL LA RAMBLETA,Púb.,CL,CRUCE C.BARCELONA-CEMENTERI I PLUS ULTRA,S/N,46113,MONCADA,València,961391914,961395663,"39,54813","-0,395004"
46006033,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",PUREZA DE MARÍA,CENTRE PRIVAT PUREZA DE MARÍA,Priv.,PD,DE LA SOLANA,S/N,46870,ONTINYENT,València,962916082,962916305,"38,82064","-0,625609"
46018503,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,"LA GACELA, SL","CENTRE PRIV. ED. INFANTIL LA GACELA, SL",Priv.,CL,PEÑA,21-23,46980,PATERNA,València,961382417,961388251,"39,49617","-0,430859"
46006343,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,MINERVA,CENTRE PRIV. ED. INFANTIL MINERVA,Priv.,CL,SAN FRANCISCO DE BORJA,31,46980,PATERNA,València,961383796,961829957,"39,50559","-0,441462"
46006422,CENTRE PRIVAT E. PRIMÀRIA I SECUNDÀRIA,ESCUELA PROFESIONAL LA SALLE,CENTRE PRIVAT ESCUELA PROFESIONAL LA SALLE,Priv.,CL,SAN MARTÍN,56,46980,PATERNA,València,961383014,961365778,"39,50848","-0,438989"
46003147,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN ENRIQUE,CENTRE PRIVAT SAN ENRIQUE,Priv.,CL,MADRE ASUNCIÓN,6,46930,QUART DE POBLET,València,961547691,961547691,"39,48454","-0,44692"
46019210,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,ESCOLA D'ADULTS,CENTRE PÚBLIC FPA ESCOLA D'ADULTS,Púb.,CL,BONAIRE,1,46740,CARCAIXENT,València,962458055,962458056,"39,12236","-0,443621"
46019246,CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS,ESCUELA DE ADULTOS,CENTRO PÚBLICO FPA ESCUELA DE ADULTOS,Púb.,CL,DOCTOR CORACHÁN,31,46370,CHIVA,València,962521613,962521613,"39,474","-0,713618"
